,0
3114,Adampol
43,Agde
1131,Ahlem
212,Allach
1367,Allendorf
2678,Amersfoort
1853,Ampfing-Waldlager
2010,Andrzejów
284,Annaberg
926,Antibes
2887,Antonienhütte
305,Argelès-sur-Mer
1723,Augsburg
95,Augsburg Messerschmitt
2371,Aurich
1,Auschwitz
1462,Auschwitz I
1457,Auschwitz II-Birkenau
1468,Auschwitz III-Monowitz
1430,Bačka Topola
3032,Baranowitsche
2698,Barneveld
36,Barth
129,Bautzen
595,Bayreuth
143,Bačka Topola
395,Belzec
1716,Belzyce
2183,Bendorf
2565,Berga/Elster
2059,Bergedorf
2,Bergen-Belsen
439,Berlin-Neukölln
2719,Biala Podlaska
3165,Białystok
2825,Bielefeld
3096,Biesiadka
2645,Biezanow
11,Birkenau
1206,Birnbäumel
1792,Birnbäumel
643,Bisingen
251,Blechhammer
1197,Blechhammer E/3
100,Blizyn
122,Block 10 (Auschwitz
612,Bodzechów
2135,Boizenburg
525,Bolkenhain
718,Boryslaw
3148,Botten
1636,Boulogne-sur-Mer
2178,Bourg Leopold
1825,Boussac
1574,Brande
162,Braunschweig
2348,Braunschweig-Büssing NAG-Vereinigte Nutzkraftwagen
2120,Braunschweig-SS Reitschule
2323,Braunschweig-Stahlwerke
2433,Bremen
3132,Breslau
1575,Breslau I
3217,Brest
1908,Brody
2204,Bromberg
1081,Bromberg-Brahnau
1087,Bruss-Sophienwalde
1055,Brünnlitz
2476,Brätz
635,Brójce
393,Brünnlitz
21,Buchenwald
738,Budy
816,Budzyn
928,Burgau
165,Campagna
535,Central Promenade Camp
1876,Charlottengrube
585,Christianstadt
2403,Co.
2659,Colditz
158,Colmar
1660,Cosel
1511,Crawinkel
3069,Czarny Dunajec
120,Czestochowa
1179,Częstochowa
10,Dachau
2155,Danzig
2156,"Danzig, Schichau-Werft"
456,Dautmergen
2572,Deblin
304,Djelfa
1237,Dondangen
13,Dora
2451,Dorohucza
2000,Dortmund-Hörder Hüttenverein
73,Drancy
2076,Dreetz
2091,Duderstadt
1627,Dunkelthal
1546,Dyhernfurth
1652,Dörnhau
566,Dünawerke
31,Ebensee
2360,Eichtal
1143,Elsnig
1705,Ereda
2273,Essen
1911,Eule
1820,Falenty
677,Falkenberg
1884,Fallersleben
870,Farge
1420,Faulbrück
1152,Faulbrück
1725,Feldafing
166,Ferramonti
1231,Flossenbürg
42,Flossenbürg
1661,Flössberg
196,Freiberg
2805,Freiheit-Osterode
1547,Fünfteichen
2666,Fürstengrube
1768,Ganacker
2597,Geislingen an der Steige
2949,Gellenau
1134,Gelsenkirchen
1657,Gelsenkirchen-Horst
1939,Genshagen
1478,Gleiwitz
4,Gleiwitz I
634,Gleiwitz II
2515,Glöwen
1828,Gogolin
1706,Goldfields
2301,Golleschau
1878,Gorlice
1438,Görlitz
2816,Grafenort
1290,Gross Masselwitz
1469,Gross Rosen
2448,Gross Sarne
19,Gross-Rosen
623,Gräben
1577,Gräditz
2425,Grünberg
1074,Grünberg in Schlesien
59,Guben
112,Gundelsdorf
39,Gunskirchen
6,Gurs
211,Gusen
2015,Gutenbrunn
1699,Göstling an der Ybbs
2676,Günthergrube
217,HASAG Czestochowianka
32,Haidari
239,Hainichen
2263,Halberstadt
1603,Halberstadt-Zwieberge
1570,Hamburg
2280,Hamburg-Eidelstedt
1571,Hamburg-Freihafen
1834,Hamburg-Geilenberg
1902,Hamburg-Langenhorn
2927,Hamburg-Sasel
1835,Hamburg-Tiefstack
1836,Hamburg-Wilhelmsburg
2077,Hardt
2954,Heilbronn
278,Heinkel-Werke Oranienburg
2471,Helmbrechts
294,Hersbruck
1711,Herzogenbusch
2452,Hessental
2217,Hessisch Lichtenau
341,Heydekrug
156,Hindenburg
508,Hirschberg
2892,Hohenlinde
3007,Hohenstein-Ernsttahl
142,Holleischen
2812,Igarka
515,Jaktorów
890,Janinagrube
717,Janowska
516,Janowski
992,Jasenovac
2459,Jastrebarsko
87,Jawischowitz
1077,Jaworzno
2859,Jungfernhof
1707,Jägala
183,Kaiserwald
2144,Kalisz-Kozminka
897,Kaltwasser
107,Kampor--Rab
70,Kanada I
2115,Kandalaksha
1849,Karlshagen
1549,Karwin
2296,Kattowitz
1874,Kauen
2685,Kauen-Schanzen
1924,Kaufbeuren
192,Kaufering
1914,Kaufering Lager I
1684,Kaufering Lager III
1915,Kaufering Lager IV
1821,Kaweczyn
2258,Kerestinec
3179,Kielbasin
1989,Kielce
1990,Kielce-Henryków
1960,Kielce-Ludwigshütte
1663,Kirchham
2807,Klaj
2871,Klaj-Julag
1760,Klein Mangersdorf
2363,Klettendorf
2133,Kochanowitz
702,Kochendorf
2906,Kolkau
981,Koronowo
3057,Kostopol
1176,Kovno
1314,Königs Wusterhausen
1776,Krakau
2702,Krakau-Grzegorzki
1458,Krakau-Plaszow
1590,Krakau-Prokocim
1720,Krasnik
601,Kratzau I
1761,Kremboong
2460,Kruscica
951,Kudowa-Sackisch
1612,Kurben
2162,Kuremäe
2995,Kurowice
1099,Kurzbach
945,Königs Wusterhausen
3220,Königshütte
1712,L.L. Hamburg Neuengamme SS-Arbeitslager A3
1746,Lackie Wielkie
2163,Lagedi
746,Lagischa
1072,Landeshut
52,Landsberg
255,Langenbielau
1578,Langenbielau I
613,Langenstein
287,Laskowitz-Meleschwitz
2547,Lauenburg
3221,Laurahütte
223,Lazy
1026,Le Vernet
2193,Leibisch
2210,Leipzig
2227,Leipzig-Mansfeld
2306,Leipzig-Schönau
858,Leipzig-Thekla
1619,Leitmeritz
1747,Lemberg-Janowskastrasse
576,Leonberg
614,Les Milles
1523,Liebau
1850,Lieberose
651,Lipie
1515,Lippstadt
685,Litomerice
1270,Litoměřice
86,Litoměrice
1484,Longwy-Thil
2044,Lublin
2618,Lublin-Lipowastrasse
3150,Luck
433,Ludwigsdorf
1001,Ludwigslust
898,Lärche
1606,Lübberstedt
526,Maerzdorf
1490,Magdeburg
265,Magdeburg Brabag
1622,Magdeburg-Polte
51,Majdanek
104,Malchow
471,Malines
1169,Malken
1289,Markstädt
547,Markstädt
20,Mauthausen
1667,Mechelen
