,_id,collection,gender,testimony_id,testimony_title
0,5fbe345cd2f21737954e3ada,USHMM,,irn504903,Oral history interview with Bert Fleming and Irene Fleming
1,5fbe345cd2f21737954e3b75,USHMM,,irn511314,Oral history interview with Manny Ragen and Shirley Ragen
2,5fbe345cd2f21737954e3bed,USHMM,,irn511257,Oral history interview with Ben Geizhals and Esther Geizhals
3,5fbe345cd2f21737954e3c6f,USHMM,,irn510708,Oral history interview with Maria Speiwak and Danuta Trybus
4,5fbe345dd2f21737954e3cdd,USHMM,,irn504830,Oral history interview with Theodore Feder and Herbert Katzki
5,5fbe345dd2f21737954e3cec,USHMM,,irn507486,Oral history interview with Ernest Pollack and Ilse Pollack
6,5fbe345ed2f21737954e3e95,USHMM,,irn511322,Oral history interview with Albert Schimel and Helen Schimel
7,5fbe345ed2f21737954e3ee0,USHMM,,irn38079,"Oral history interview with Lucie Ragin, Joyce Mizrachi, and André Zalc"
8,5fbe345ed2f21737954e3ee5,USHMM,,irn77778,"Oral history interview with Frank Towers, ""The Death Train at Farsleben"""
9,5fbe345ed2f21737954e3f49,USHMM,,irn506671,Oral history interview with Chaim Engel and Selma Saartje Engel
10,5fbe345ed2f21737954e3f6c,USHMM,,irn511264,Oral history interview with Isaac Goodfriend and Betty Goodfriend
11,5fbe345ed2f21737954e4002,USHMM,,irn510658,Oral history interview with Mary Ackos Calof and Evelyn Ackos Ettinger
12,5fbe345fd2f21737954e40ca,USHMM,,irn511320,Oral history interview with Benjamin Rubinstein and Judy Rubinstein
13,5fbe345fd2f21737954e4124,USHMM,,irn511261,Oral history interview with Israel Goldman and Louis Goldman
14,5fbe345fd2f21737954e4129,USHMM,,irn511287,"Oral history interview with Yisroel Leifer, Izzy Raab, and Esther Raab"
15,5fbe345fd2f21737954e412e,USHMM,,irn508790,Oral history interview with Joseph Schoen and Mary Schoen
16,5fbe345fd2f21737954e415b,USHMM,,irn511323,Oral history interview with Joe Schlesinger and Edith Schlesinger
17,5fbe345fd2f21737954e419c,USHMM,,irn511303,Oral history interview with Sam Natansohn and Sidi Natansohn
18,5fbe345fd2f21737954e41ce,USHMM,,irn504815,Oral history interview with Irene Hizme and Rene Slotkin
19,5fbe345fd2f21737954e41f1,USHMM,,irn511229,Oral history interview with Morris Berkowitz and Sarah Berkowitz
20,5fbe3460d2f21737954e420f,USHMM,,irn504713,Oral history interview with Adam Starkopf and Pela Starkopf
21,5fbe3460d2f21737954e4223,USHMM,,irn510465,Oral history interview with Robert Feist and Ruth Feist
22,5fbe3460d2f21737954e4322,USHMM,,irn511349,Oral history interview with Jack Werber and Millie Werber
23,5fbe3460d2f21737954e4327,USHMM,,irn509138,Oral history interview with Irene Hizme and Rene Slotkin
24,5fbe3460d2f21737954e43c7,USHMM,,irn511281,Oral history interview with Isaac Kowalski and Masha Kowalski
25,5fbe3461d2f21737954e43fe,USHMM,,irn504875,Oral history interview with William Zeck and Belle Mayer Zeck
26,5fbe3461d2f21737954e44f8,USHMM,,irn507491,Oral history interview with Ruth Rehbock and Ralph Rehbock
27,5fbe3461d2f21737954e4557,USHMM,,irn513321,"Oral history interview with Arieh Pinchuk, Dan Hiram, and Daniel Dagen"
28,5fbe3461d2f21737954e4584,USHMM,,irn506554,Oral history interview with Marion Pritchard and Tony Pritchard
29,5fbe3462d2f21737954e45f7,USHMM,,irn511331,Oral history interview with Maury Spira and Sylvia Spira
30,5fbe3462d2f21737954e4629,USHMM,,irn54253,"Oral history interview with Ernest E. Dutcher, Jr."
