comment,fragment_identifier,Unnamed: 0,label_2,Unnamed: 0.1.1.1,url,start_sentence_index,status,label,Unnamed: 0.1,transcript_file_available,actual_pdf,Unnamed: 0.1.1,ushmm_id,pdf,end_sentence_index,question_position,video_filename
nan,a1ffb44d-357a-4eaf-9dc1-05e46d7440b2,0,... my mother felt terribly guilty for the next 47 years of her life.,0,https://collections.ushmm.org/search/catalog/irn507581,s1186,nan,my mother felt terribly guilty for the next 47 years of her life,0,True,nan,0,irn507581,RG-50.106.0084_trs_en.pdf,s1186,0:00,https://oralhistory-assets.ushmm.org/RG-50.106.0084.03.04.mp3
nan,3e08941e-7780-44ee-9fa8-765a749f490c,1,"I don't have survivor guilt, maybe that's bad of me, I don't know.",1,https://collections.ushmm.org/search/catalog/irn41498,s853,nan,"I don't have survivor guilt, maybe that's bad of me, I don't know.",1,True,nan,1,irn41498,RG-50.030.0548_trs_en.pdf,s853,1:04:26,https://oralhistory-assets.ushmm.org/RG-50.030.0548.01.01.mp3
No video found,5ec91d2e-5450-40e8-bc39-cf450bd2da68,2,But there is a survivor's guilt there. It is always there.,2,https://collections.ushmm.org/search/catalog/irn508644,,nan,But there is a survivor's guilt there. It is always there.,2,True,RG-50.462.0023_02_trs_en.pdf,2,irn508644,"RG-50.462.0023_01_trs_en.pdf,RG-50.462.0023_02_trs_en.pdf,RG-50.462.0023_03_trs_en.pdf",,nan,nan
nan,eabdbf9c-14c0-4d3a-9c9a-fa68e73742d1,3,...there was this guilt from the moment that I left them...,3,https://collections.ushmm.org/search/catalog/irn506646,s215,nan,"""there was this guilt from the moment that I left them, in 1938",3,True,nan,3,irn506646,RG-50.549.02.0016_trs_en.pdf,s215,9:44,https://oralhistory-assets.ushmm.org/RG-50.549.02.0016.01.03.mp3
nan,b78262f7-f574-49fd-b486-9e09755c3c32,4,...the guilt being that you are left alive and they didn't make it...,4,https://collections.ushmm.org/search/catalog/irn504525,,nan,the guilt being that you are left alive and they didn't make it,4,False,nan,4,irn504525,RG-50.030.0007_trs_en.pdf,,13:54,https://oralhistory-assets.ushmm.org/RG-50.030.0007.02.02.mp4
nan,1d60d5b2-818a-4a3a-a76c-1d3a48e01183,5,Daily life was miserable; it was a life of daily fear.,5,https://collections.ushmm.org/search/catalog/irn504801,s227,nan,Daily life was miserable; it was a life of daily fear.,5,True,nan,5,irn504801,RG-50.030.0306_trs_en.pdf,s227,0:00,https://oralhistory-assets.ushmm.org/RG-50.030.0306.02.03.mp4
nan,bf308d94-7076-4021-9bf9-43c24b6a99a6,6,...the kind of fear I used to experience every single day of my life.,6,https://collections.ushmm.org/search/catalog/irn506665,s3265,nan,(..)the kind of fear I used to experience every single day of my life.,6,True,nan,6,irn506665,RG-50.549.02.0013_trs_en.pdf,s3265,52:55:00,https://oralhistory-assets.ushmm.org/RG-50.549.02.0013.06.08.mp3
nan,a4e65cee-6d29-4a57-ae3f-33e718748447,7,"And life went on as before, and no significant changes of any kind except there was a lot of tension, the fear.",7,https://collections.ushmm.org/search/catalog/irn504564,,nan,"And life went on as before, and no significant changes of any kind except there was a lot of tension, the fear.",7,True,nan,7,irn504564,RG-50.030.0068_trs_en.pdf,,10:18,https://oralhistory-assets.ushmm.org/RG-50.030.0068.01.02.mp4
nan,b71e9f18-c45c-47ee-8c29-8fa5df8b6285,8,I think I lived there with the idea that I am going to live  through. ... But as I was -- the fear was there.,8,https://collections.ushmm.org/search/catalog/irn504807,s1294,nan,"I think I lived there with the idea that I am going to live  through. I am going to get over this, all of it, yes. But as I was -- the fear was there.",8,True,nan,8,irn504807,RG-50.030.0312_trs_en.pdf,s1296,10:11,https://oralhistory-assets.ushmm.org/RG-50.030.0312.04.04.mp4
nan,e50be32f-7ece-474d-8792-cb6a26ddf2ba,9,So you were constantly fearing for your life.,9,https://collections.ushmm.org/search/catalog/irn510666,s781,nan,So you were constantly fearing for your life.,9,True,nan,9,irn510666,RG-50.156.0012_trs_en.pdf,s781,1:24:27,https://oralhistory-assets.ushmm.org/RG-50.156.0012.01.02.mp3
nan,a7b9c11a-846d-4d43-ae46-bcc015d124b2,10,"..,we lived in tremendous fear...",10,https://collections.ushmm.org/search/catalog/irn504801,s133,nan,And so we lived in tremendous fear (..).,10,True,nan,10,irn504801,RG-50.030.0306_trs_en.pdf,s133,33:05:00,https://oralhistory-assets.ushmm.org/RG-50.030.0306.01.03.mp4
Answer mislabeled as question in transcript,bd498a29-9471-43d6-94dc-cc46a6c62489,11,...you feared for your life every second...,11,https://collections.ushmm.org/search/catalog/irn506665,s903,nan,(..)you feared for your life every second(..).,11,True,nan,11,irn506665,RG-50.549.02.0013_trs_en.pdf,s903,27:06:00,https://oralhistory-assets.ushmm.org/RG-50.549.02.0013.06.08.mp3
nan,024a6553-76de-466d-b24a-d0309dab4aa9,13,I had such a fear that I am going to never see my parents again...,13,https://collections.ushmm.org/search/catalog/irn510704,s218,nan,"I had such a fear that I am going to never see my parents again...
my parents again",13,True,nan,13,irn510704,RG-50.156.0050_trs_en.pdf,s218,23:38,https://oralhistory-assets.ushmm.org/RG-50.156.0050.01.01.mp3
nan,fdefa814-5189-44b7-9369-7d416b84952b,14,...when you are worried about.. uh..whatever happened to.. to your mother...,14,https://collections.ushmm.org/search/catalog/irn504534,,nan,"Faces of when.. when a person is concerned, when you are worried about.. uh..whatever happened to.. to your mother, ypyour mother, your father, your uncle, your aunt, your niece, your brother, your sister?",14,False,nan,14,irn504534,RG-50.030.0027_trs_en.pdf,,24:27:00,https://oralhistory-assets.ushmm.org/RG-50.030.0027.02.02.mp4
