,0
839,
1340,Aleksandrja
934,Amsterdam
143,Ashmiany
1517,Baia-Mare
490,Balta
142,Baranavichy
1389,Baranow Sandomierski
235,Barcice (Województwo Malopolskie)
132,Bedzin
554,Belchatów
1344,Beled
6,Berehove
428,Berehovo
989,Berezne
346,Bershad ̓
491,Bershad'
390,Bełżyce
417,Będzin
820,Biala Podlaska
916,Bialobrzegi
29,Bialystok
385,Białystok
481,Biecz
945,Bielsko Biala
139,Bielsko-Biala
267,Bochnia
727,Bodzentyn
1162,Borszczów
524,Boryslaw
613,Brailov
612,Brody
111,Brzeziny (Lódz)
73,Buchach
1022,Buczacz
14,Budapest
38,Byczyna (Opole)
118,Będzin
497,Ceheiu
492,Cernauti
0,Chelm (Lublin)
15,Chernivtsi
296,Chernvtsi
895,Chmielnik
304,Chortkiv
353,Chrzanów
93,Chrzanów
755,Chust
615,Ciechanów
376,Cluj
468,Cracow
322,Cristuru Secuiesc
556,Csepel
466,Czeladz
347,Czernowitz
54,Czestochowa
345,Częstochowa
923,Dabrowica
877,Daugavpils
656,Debica
1049,Deblin-Irena
411,Debrecen
1430,Diósgyõr
1213,Dobra
17,Dokshytsy
1104,Dragomiresti
270,Drohobych
1256,Drohobycz
126,Dubno
116,Dvarėts (Hrodzenskaia voblasts')
1370,Dworzec
205,Dziarechyn
117,Dziatlava
1123,Glebokie
359,Glubokoye
367,Gorlice
375,Grodno
714,Gyõr
188,Gyöngyös
537,Hajdúnánás
912,Hongkew
608,Horochów
46,Horokhiv
153,Hrodna
254,Hungary
25,Izbica Lubelska
1166,Janów
855,Jasionówka
1306,Jaworów
1186,Jedlinsk
133,Kalisz
815,Kaluszyn
803,Kaposvár
742,Kapuvár
5,Kaunas
744,Kecskemét
35,Khust
65,Kielce
567,Kisvárda
261,Kliucharky
180,Kolbuszowa
1475,Kolki
233,Kolky (Volyns’ka oblast’)
312,Kolomyia
1285,Komárom
1106,Konstantynów
190,Korets'
495,Korzec
187,Kosice
206,Kovel'
644,Kowel
216,Kozienice
28,Košice
373,Kraków
101,Kraków
659,Krasnik
107,Kroscienko (Województwo Malopolskie)
1182,Krosniewice
368,Krosno
1241,Krzemieniec
81,L'viv
16,Ladyzhyn
209,Lakhva
630,Lask
766,Laskarzew
621,Levice
260,Lida
389,Liebau
1179,Liepaja
163,Liepāja
134,Lochów (Lódź)
1294,Lokacze
136,Lubaczów
2,Lubartów
94,Lublin
650,Luboml
627,Luck
849,Ludwipol
482,Lwów
21,Lódz
39,Lódź
398,Lʹvov
243,Mahiliou
1133,Maniewicze
34,Mátészalka
462,Miedzyrzec
544,Miedzyrzecz
55,Minsk
430,Miskolc
865,Mizocz
91,Mińsk Mazowiecki
240,Mlawa
244,Mlynove
999,Mlynów
781,Mogilev-Podol'skii
449,Mukacevo
362,Munkács
1201,Murafa
68,Mátészalka
408,Mława
36,Navahrudak
983,Nowe Miasto
791,Nowogródek
1366,Nowy Targ
266,Nowy Wisnicz
249,Nyiregyhaza
966,Nyíregyháza
493,Obodovka
305,Oleyëvo-Korolëvka
1319,Olkusz
764,Opatów
821,Opole Lubelskie
122,Oradea
191,Ostroh
487,Ostrowiec
158,Ostrowiec Swietokrzyski
438,Ostrozec
577,Ostróg
767,Otwock
44,Ozorków
279,Pabianice
460,Panevezys
1216,Pestszenterzsébet
169,Piaski (Lublin)
598,Piotrków
128,Plaszów
728,Plock
757,Plonsk
51,Plońsk
718,Podhajce
1467,Porzecze
1124,Postawy
201,Praszka
1265,Pruzana
61,Pruzhany
129,Prużana
115,Przemysl
50,Przemyśl
82,Przeworsk
657,Pécs
1196,Rabka
106,Rabka (Województwo Malopolskie)
401,Radom
30,Radom (Województwo Mazowieckie)
1042,Radomsko
1046,Radun
152,Radun'
1056,Radzyn
1453,Rawa Ruska
1509,Rejowiec
66,Riga
316,Rivne (Rivnens'ka oblast')
388,Rīga
1245,Rozyszcze
292,Rudnik nad Sanem
1481,Ryki
369,Rzeszów
156,Rzeszów
525,Równe
653,Salgótarján
523,Salonika
765,Sandomierz
678,Sarny
208,Sarny (Rivnens'ka oblast')
413,Satu Mare
354,Sátoraljaújhely
1246,Serniki
456,Sevlus
3,Shanghai
521,Shargorod
778,Siauliai
189,Siedlce
626,Siedliszcze
8,Sighet
801,Skarzysko-Kamienna
463,Skierniewice
175,Slonim
616,Sochaczew
890,Sokołów Podlaski
165,Solotvyno
743,Sopron
167,Soroca
250,Sosnowiec
161,Sosnowiec (Województwo Slaskie)
271,Stanislav
840,Stanislawów
9,Starachowice
988,Stary Sacz
818,Stepan
294,Stoczek Lukowski
592,Stryj
26,Stryĭ
420,Subotica
110,Subotica (Subotica)
904,Suchedniów
87,Suchowola
358,Szarkowszczyzna
526,Szeged
899,Szolnok
838,Szombathely
31,Sárvár
83,Sátoraljaújhely
429,Šiauliai
1368,Tacovo
575,Tarnów
7,Terezín (Ústecký kraj)
170,Ternopil'
445,Theresienstadt
90,Thessalonike
570,Tomaszów Mazowiecki
321,Transylvania
97,Tuchyn
1326,Tuczyn
528,Tótkomlós
342,Ungvár
23,Uzhhorod
435,Uzhorod
380,Vilna
42,Vilnius
906,Viseul-de-Sus
113,Vișeu de Sus
319,Volochys'k
811,Warkowicze
1,Warsaw
363,Warta
1493,Werba
350,Wieliczka
985,Wisznice
1396,Wlodawa
870,Wlodzimierz
1005,Wolbrom
1111,Zarki
619,Zawiercie
763,Zdolbunów
1371,Zdzieciol
614,Zhmerinka
103,Zhmerynka
618,Zofjówka
341,Zwoleń
566,Złoczów
1403,ghettos
432,nan
637,Újpest
343,Łosice
13,Łódź
440,Łódź
184,Šiauliai
