no end,,no beginning,only answers and not monologue,token_in_undress_experiment,video_lenght,pass or fail,token_in_prev_folia,time stamps in the file,comments,other,testimony_id,only questions,method,status,divs_in_current_folia,data_pool,not segment and not monologue,token_in_current_folia,divs_in_prev_folia,monologue,presence of odd words
,,,,101414,37600,,98542,,,,irn508258,,transcribe_core_doc,,551,first,,100163,476,,
1,,0,,86681,32048,1,86541,,both issues in end,1,irn510468,,transcribe_non_core_doc,first_qc,993,first,,86660,964,,
,,,,88030,30186,0,85471,,,,irn508471,,transcribe_core_doc,first_qc,437,first,,86341,414,,
,,,,87454,27896,0,84312,,,,irn506665,,transcribe_core_doc,first_qc,408,first,,85694,388,,
0,,,,75001,,1,71932,,,,irn508734,,transcribe_non_core_doc,first_qc,882,first,,72047,859,,1
,,,,72493,20375,0,71389,,,,irn511185,,transcribe_core_doc,first_qc,623,first,,71814,601,,
,,,,73213,8701,0,71389,,,,irn504887,,transcribe_core_doc,first_qc,620,first,,71669,601,,
,,,,69916,20585,,67723,,,,irn506627,,transcribe_core_doc,,746,first,,68032,722,,
1,,,,64182,27511,1,63851,,both issues in end,1,irn510485,,transcribe_non_core_doc,first_qc,1037,first,,64064,1012,,
0,,,,64034,18824,1,62465,,"""End of tape four..."" in middle of interview, Preface text at beginning",1,irn514926,,transcribe_non_core_doc,first_qc,1856,first,,62597,1826,,
,,,,63523,17562,1,62138,,Parenthesis error.,,irn514469,,transcribe_core_doc,first_qc,1044,first,,62860,1019,,1
,,,,62487,28126,0,61127,,,,irn504900,,transcribe_core_doc,first_qc,445,first,,61427,413,,
,,,,62537,22427,0,61104,,,,irn36962,,transcribe_core_doc,first_qc,2034,first,,61353,2012,,
1,,,,62444,20262,1,60830,,,,irn506448,,transcribe_core_doc,first_qc,1309,first,,61396,1266,,
,,,,61569,23773,0,60417,,,,irn513271,,transcribe_core_doc,first_qc,724,first,,60747,712,,
,,,,61868,18171,0,60398,,,,irn506726,,transcribe_core_doc,first_qc,340,first,,60703,323,,
1,,,,61692,19265,1,60392,,,,irn511521,,transcribe_core_doc,first_qc,2443,first,,60631,2414,,
,,,,61888,22162,0,60186,,,,irn508470,,transcribe_core_doc,first_qc,2616,first,,60598,2599,,
,,,,43399,,,59843,,,,irn508698,,transcribe_non_core_doc,,1987,first,,124087,1700,,
,,,,59200,20834,0,58603,,,,irn508257,,transcribe_core_doc,first_qc,353,first,,58764,346,,
,,,,60505,15890,,58451,,,,irn514241,,transcribe_non_core_doc,,2269,first,,58519,2243,,
,,,,59351,17152,,57454,,,,irn36882,,transcribe_core_doc,,2393,first,,57925,2348,,
,,,,59300,17404,0,57115,,,,irn508461,,transcribe_core_doc,first_qc,859,first,,57432,841,,
1,,,,58577,17786,1,57033,,,,irn36914,,transcribe_core_doc,first_qc,1878,first,,57262,1854,,
,,,,59069,18560,,56602,,,,irn42272,,transcribe_core_doc,,1525,first,,56838,1502,,
,,,,57997,17489,,56525,,,,irn506708,,transcribe_core_doc,,434,first,,56840,422,,
,,,,57097,19017,0,55941,,,,irn507298,,transcribe_core_doc,first_qc,662,first,,56150,643,,
,,,,56405,15901,0,55061,,,,irn506717,,transcribe_core_doc,first_qc,224,first,,55353,212,,
,,,,57158,37426,0,55021,,,,irn96010,,transcribe_core_doc,first_qc,2050,first,,55164,2038,,
0,,,,56624,,1,54601,,,,irn508694,,transcribe_non_core_doc,first_qc,914,first,,54673,887,,
1,,,,55419,20625,1,54334,,end deviation from pdf,1,irn514104,,transcribe_core_doc,first_qc,1865,first,,54592,1835,,
1,,1,,57612,20573,1,53988,,ending of transcript isn't in ny of the pdfs,1,irn511210,,transcribe_non_core_doc,first_qc,798,first,,57651,715,,
,,,,54827,17407,,53495,,,,irn517248,,transcribe_core_doc,,956,first,,53727,931,,
,,,,54595,11606,0,53241,,,,irn506664,,transcribe_core_doc,first_qc,600,first,,53551,588,,
,,,,57167,20432,0,53233,,,,irn504908,,transcribe_core_doc,first_qc,423,first,,56554,351,,
,,,,54365,17737,0,52799,,,,irn506690,,transcribe_core_doc,first_qc,1006,first,,53135,989,,
,,,,56033,,,52405,,,,irn508677,,transcribe_non_core_doc,,379,first,,54656,367,,
,,,,53643,19583,0,52298,,,,irn517852,,transcribe_core_doc,first_qc,2066,first,,52540,2036,,
,,1,,53606,18590,1,52213,,,,irn518702,,transcribe_core_doc,first_qc,1924,first,,52456,1896,,
1,,,,52943,15821,1,51639,,,,irn516104,,transcribe_core_doc,first_qc,1926,first,,51892,1900,,
,,,,56548,18275,0,51538,,,,irn507286,,transcribe_core_doc,first_qc,271,first,,55567,222,,
1,,,,52535,15473,1,51317,,,,irn514105,,transcribe_core_doc,first_qc,1774,first,,51748,1750,,
,,,,51768,9726,,50148,,,,irn504888,,transcribe_core_doc,,874,first,,50443,851,,
,,,,51959,,,50070,,,,irn515646,,transcribe_non_core_doc,,1738,first,,50188,1725,,
,,,,50700,20478,,49817,,,,irn516732,,transcribe_core_doc,,1109,first,,50203,1075,,
,,,,50688,21270,0,49693,,,,irn509707,,transcribe_core_doc,first_qc,1222,first,,49913,1198,,
,,,,51361,15784,,49595,,,,irn45099,,transcribe_core_doc,,1305,first,,49751,1291,,
,,,,51034,,0,49412,,,,irn508684,,transcribe_non_core_doc,first_qc,674,first,,49577,654,,
,,,,50663,,0,48636,,,,irn508651,,transcribe_non_core_doc,first_qc,1093,first,,48913,1066,,
1,,,,49567,14143,1,48554,,,,irn510323,,transcribe_core_doc,first_qc,799,first,,48779,775,,
1,,1,,49661,18016,1,48410,,,,irn504903,,transcribe_core_doc,first_qc,2626,first,,48674,2603,,
1,,,,49630,14262,1,48275,,,,irn517856,,transcribe_core_doc,first_qc,2386,first,,48522,2358,,
1,,,,51210,20438,1,47944,,,,irn510712,,transcribe_non_core_doc,first_qc,345,first,,50983,219,,
,,,,49380,21275,0,47753,,,,irn506693,,transcribe_core_doc,first_qc,143,first,,47967,125,,
,,,,48720,20216,,47730,,,,irn504723,,transcribe_core_doc,,284,first,,48011,264,,
,,,,49343,11193,1,47671,,,,irn37871,,transcribe_core_doc,first_qc,1058,first,1,47855,1048,,
,,1,,48749,,1,46915,,"PDF is just a summary, no interview. ",,irn508654,,transcribe_non_core_doc,first_qc,878,first,,46959,874,,1
,,,,48559,,,46703,,,,irn508648,,transcribe_non_core_doc,,1517,first,,47184,1503,,
,,,,24044,10338,0,46626,,,,irn47382,,transcript_core_docx,first_qc,3067,first,,52652,2770,,
,,,,47972,16014,0,46477,,,,irn506653,,transcribe_core_doc,first_qc,651,first,,46769,642,,
,,,,48789,12887,0,46230,,,,irn76711,,transcribe_core_doc,first_qc,1116,first,,47200,1102,,
,,,,47011,12478,,45854,,,,irn47396,,transcribe_core_doc,,2502,first,,46460,2488,,
,,,,47541,17304,1,45790,,,,irn35973,,transcribe_core_doc,first_qc,814,first,1,45942,799,,
,,,,47009,15369,,45348,,,,irn506734,,transcribe_core_doc,,594,first,,45638,576,,
