testimony_id,no end,no beginning,comments,monologue,not segment and not monologue,pass or fail,time stamps in the file,only answers and not monologue,other,only questions,presence of odd words
irn504680,,,,,,0,,,,,
irn84371,,,,,,0,,,,,
irn510351,,,,,,0,,,,,
irn510739,0,0,,,,1,,,,,
irn510737,0,,,,,1,,,,,
irn506688,1,,,,1,1,,,,,1
irn506766,,1,,,,1,,,,,
irn504588,0,,,,,1,,,,,
irn509078,,,"PDF missing interview, some technical information about recording in transcript",,,1,,,,,1
irn506639,,,,,,0,,,,,
irn515643,0,,,,,1,,,,,
irn96024,,,,,,0,,,,,
irn508771,0,0,out of order and repeat questions,,1,1,,,1,,1
irn506694,,,,,,0,,,,,
irn35973,,,,,1,1,,,,,
irn47099,,,,,,0,,,,,
irn504568,,0,,,1,1,,,,,1
irn514105,1,,,,,1,,,,,
irn509155,,,,,,0,,,,,
irn510481,0,,,,,1,,,,,
irn510666,1,,,,,1,,,,,
irn506704,,,,,1,1,,,,,
irn511341,1,1,,,,1,,,,,
irn41495,,,,,,0,,,,,
irn513271,,,,,,0,,,,,
irn507505,1,0,,,,1,,,,,
irn506630,,,,,,0,,,,,
irn509179,,,"Parenthesis errors., a few segment erros",,1,1,,,,,1
irn508722,1,0,"PDF not transcript, ",,,1,,,,,
irn505560,0,1,,,1,1,,,,,1
irn515621,,0,,,,1,,,,,
irn511061,0,0,missing chunks of interview,,,1,,,1,,
irn508739,,1,missing parts of pdf,,1,1,,,1,,
irn511053,1,1,,,,1,,,,,
irn510747,,,"Sometimes, there is a third person labeled as VOICE",,1,1,,,1,,
irn510647,0,,"capitalisation error, but also present in PDF",,,1,,,1,,
irn504773,,,,,,0,,,,,
irn504452,,,,,,0,,,,,
irn510457,,0,"Begins with transcript details, non segmetation happens once. Transcript is interrupted with ""Interviewee:Dr. Margaret Ebert-----ME""",,1,1,,,,,1
irn515787,,,,,,0,,,,,1
irn509201,0,0,pdf doesn't contain formal beggining/ end,,,1,,,,,
irn510714,0,,,,,1,,,,,
irn504764,1,1,,,,1,,,,,
irn511238,1,1,,,1,1,,,,,1
irn511056,0,0,"missing the majority of the pdf, many processing errors",,,1,,,1,,
irn47857,,,,,,0,,,,,
irn511262,0,0,,,,1,,,,,1
irn504748,,,,,,0,,,,,
irn509157,,,,,,0,,,,,
irn506696,,,"The non-segmentation only occurs once or twice, errors not in the PDF. ",,1,1,,,,,
irn508253,,,,,,0,,,,,1
irn49549,,,,,,0,,,,,
irn510615,0,,"Error in the use of dashes, a double dash is used instead of single, ex. ""non -- Jewish"" instead of ""non-Jewish"". Ending statement is in the PDF, but not in the transcript. ",,,1,,,,,
irn510680,0,,,,,1,,,,,
irn504613,,,,,,0,,,,,
irn507298,,,,,,0,,,,,
irn504801,0,,,,,1,,,,,
irn510455,0,,,,,1,,,,,
irn510753,1,1,,,,1,,,,,
irn504895,,,,,,0,,,,,
irn504717,,,,,,0,,,,,
irn504889,,,,,,0,,,,,
irn41724,,,,,,0,,,,,
